T(K),log10(rho),log10(con),Z,Znuc
10000,-0.0795636,4.62008,1.40964,26
10000,-0.23004,4.19318,1.21995,26
10000,-0.38967,3.85052,1.06867,26
4000,0.736889,5.7957,3.52361,26
6000,0.582425,5.639,2.94901,26
8000,0.431681,5.51803,2.47928,26
8000,-0.688331,2.87274,0.827229,26
4000,0.735028,5.77893,3.51597,26
6000,0.580776,5.62218,2.94322,26
8000,0.402053,5.46653,2.39324,26
8000,0.245031,5.31124,1.98538,26
8000,-0.297363,3.87023,1.1018,26
8000,-0.448611,3.6218,0.968174,26
4000,0.721571,5.76417,3.46114,26
8000,0.426438,5.54849,2.46384,26
10000,0.167778,5.17788,1.8411,26
10000,0.00742767,4.75451,1.54318,26
10000,-0.144984,4.3273,1.32106,26
6000,0.617527,5.7448,3.07459,26
8000,0.462283,5.62905,2.57131,26
10000,0.307699,5.37073,2.162,26
12000,0.15506,4.93004,1.84324,26
12000,-0.305526,4.01267,1.19008,26
12000,-0.464465,3.95966,1.06776,26
12000,-0.618217,3.75853,0.986264,26
12000,-0.77142,3.6981,0.933971,26
14000,-0.961499,3.92881,0.971398,26
18000,-1.11999,4.20534,1.1103,26
22000,-1.27051,4.48511,1.26522,26
30000,-1.42228,4.64865,1.56097,26
38000,-1.57349,4.73017,1.85882,26
6000,0.618767,5.75351,3.07911,26
8000,0.452614,5.6063,2.54188,26
10000,0.300437,5.3119,2.14384,26
12000,0.141218,4.87041,1.81571,26
12000,-0.297061,3.91724,1.19784,26
12000,-0.448538,3.9344,1.07814,26
12000,-0.603888,3.7876,0.992528,26
12000,-0.756218,3.65935,0.938053,26
14000,-0.973998,3.86876,0.970549,26
16000,-1.12442,4.06145,1.04071,26
22000,-1.27654,4.32521,1.26631,26
28000,-1.42666,4.45445,1.49869,26
36000,-1.57889,4.55884,1.80038,26
42000,-1.72979,4.57381,2.0456,26
6000,0.622063,5.77786,3.09115,26
10000,0.373822,5.48367,2.33519,26
12000,0.212049,5.135,1.96251,26
14000,0.0578524,4.78391,1.69306,26
16000,-0.0997203,4.52822,1.49483,26
16000,-0.263508,4.4063,1.31808,26
16000,-0.418858,4.22183,1.19923,26
16000,-0.574841,4.16435,1.11889,26
16000,-0.734805,4.20211,1.06881,26
18000,-0.890455,4.23608,1.1081,26
20000,-1.04489,4.28934,1.17163,26
24000,-1.19915,4.40971,1.31795,26
30000,-1.35301,4.50232,1.54087,26
36000,-1.50446,4.58425,1.77241,26
4000,0.73416,5.76684,3.51241,26
6000,0.581086,5.63253,2.94431,26
8000,0.428893,5.50776,2.47106,26
10000,-1.37789,3.55895,0.815017,26
12000,-1.52871,3.90918,0.921721,26
16000,-1.67902,4.04088,1.12344,26
18000,-1.84224,4.15948,1.24813,26
4000,0.733636,5.77938,3.51027,26
6000,0.57828,5.63677,2.93448,26
8000,0.42526,5.51335,2.46038,26
10000,-0.000538866,4.81105,1.53017,26
10000,-0.156624,4.37862,1.30631,26
10000,-0.308194,4.08009,1.13998,26
10000,-0.466139,3.8408,1.01193,26
10000,-0.619355,3.63337,0.924302,26
10000,-0.773014,3.40586,0.865686,26
10000,-0.927272,3.18611,0.830179,26
10000,-1.07873,3.1116,0.812955,26
12000,-1.32048,3.47727,0.898732,26
14000,-1.4707,3.80536,1.00019,26
16000,-1.62142,4.00783,1.11105,26
18000,-1.77186,4.053,1.22952,26
20000,-1.92227,4.12616,1.35466,26
20000,-2.07263,4.13114,1.40154,26
18000,-2.2233,4.03427,1.36037,26
4000,0.733427,5.79564,3.50941,26
8000,0.467941,5.56491,2.58868,26
10000,0.174606,5.1819,1.85539,26
10000,0.0221396,4.84018,1.56763,26
12000,-0.332696,4.12359,1.16607,26
12000,-0.484471,3.9343,1.05527,26
12000,-0.642389,3.74586,0.976265,26
12000,-0.794336,3.63699,0.928237,26
12000,-0.945349,3.55315,0.901796,26
14000,-1.23381,3.68422,0.973091,26
16000,-1.40351,3.86853,1.07082,26
18000,-1.55486,4.02065,1.17759,26
20000,-1.70531,4.10302,1.29264,26
22000,-1.85543,4.17281,1.4148,26
22000,-2.00568,4.1817,1.46331,26
20000,-2.15614,4.15978,1.42876,26
18000,-2.30627,4.06722,1.38701,26
4000,0.725997,5.77359,3.4791,26
8000,0.479237,5.57371,2.62369,26
10000,0.225893,5.25194,1.96711,26
10000,0.0697088,4.94142,1.65058,26
12000,-0.233996,4.24706,1.25998,26
12000,-0.393769,4.04265,1.11691,26
14000,-1.03915,3.65667,0.967741,26
14000,-1.18977,3.68984,0.970308,26
16000,-1.33989,3.78753,1.06148,26
18000,-1.49066,3.93222,1.16409,26
20000,-1.64073,4.07129,1.27569,26
22000,-1.79129,4.09135,1.39508,26
24000,-1.94157,4.11783,1.52119,26
22000,-2.09205,4.18113,1.49253,26
20000,-2.2426,4.12005,1.45777,26
18000,-2.39362,3.92028,1.41578,26
4000,0.72899,5.78231,3.49128,26
6000,0.575811,5.65397,2.92585,26
8000,0.4233,5.52076,2.45464,26
10000,0.229131,5.25652,1.97443,26
10000,0.0704406,4.93311,1.6519,26
12000,-0.148625,4.43043,1.35704,26
12000,-0.310034,4.1738,1.186,26
14000,-0.467985,4.01397,1.11859,26
14000,-0.624629,3.88581,1.04287,26
14000,-0.779264,3.82988,0.997083,26
14000,-0.93048,3.78512,0.973967,26
16000,-1.16096,3.84485,1.04286,26
16000,-1.3114,3.91243,1.05771,26
18000,-1.46281,4.01322,1.15855,26
20000,-1.61422,4.10582,1.26896,26
22000,-1.76472,4.16542,1.38709,26
24000,-1.91507,4.17272,1.51213,26
24000,-2.0655,4.22986,1.56478,26
22000,-2.2161,4.20192,1.53604,26
18000,-2.36653,3.98838,1.40678,26
4000,0.638678,5.58234,3.10885,28
6000,0.515918,5.51427,2.70207,28
8000,0.151143,5.15743,1.76898,28
10000,-0.183143,4.52532,1.26494,28
12000,-0.352402,4.24147,1.1378,28
14000,-0.523705,4.05123,1.07264,28
14000,-0.678816,3.93008,1.00714,28
16000,-0.981674,3.78455,1.01718,28
16000,-1.13295,3.80909,1.01795,28
18000,-1.28458,3.88857,1.10173,28
20000,-1.42481,3.99326,1.19564,28
22000,-1.55502,4.05373,1.29566,28
24000,-1.69897,4.08149,1.40609,28
24000,-1.84924,4.10758,1.45243,28
24000,-2.12494,4.07386,1.54583,28
22000,-2.27409,4.0774,1.51695,28
20000,-2.35853,4.03471,1.45926,28
18000,-2.44249,3.98173,1.39516,28
16000,-2.53462,3.91004,1.32646,28
4000,0.644448,5.59685,3.13001,28
6000,0.533004,5.53523,2.75746,28
8000,0.149625,5.1912,1.76587,28
10000,-0.183494,4.67252,1.26452,28
12000,-0.345621,4.32523,1.14348,28
14000,-0.465263,4.16788,1.10561,28
16000,-0.622348,3.97777,1.08288,28
18000,-1.21162,3.75815,1.09306,28
20000,-1.37779,3.82289,1.18665,28
22000,-1.50794,3.85382,1.28418,28
24000,-1.62489,3.89348,1.38467,28
26000,-1.7734,3.91036,1.50018,28
28000,-1.92518,3.91887,1.62365,28
28000,-2.0752,3.96052,1.68007,28
26000,-2.22768,4.03028,1.66278,28
24000,-2.31605,4.05941,1.61591,28
22000,-2.38405,4.04622,1.55642,28
20000,-2.44129,3.99856,1.48788,28
18000,-2.50864,3.91766,1.41709,28
4000,0.630038,5.58809,3.0774,28
6000,0.506332,5.49642,2.67143,28
8000,0.0179761,4.93334,1.519,28
10000,-0.283805,4.35361,1.15438,28
12000,-0.47277,4.05949,1.04977,28
14000,-0.870052,3.67815,0.962275,28
14000,-1.02365,3.53199,0.948007,28
16000,-1.30839,3.57623,1.03258,28
18000,-1.47782,3.68592,1.13326,28
20000,-1.60748,3.77474,1.23586,28
22000,-1.72377,3.81271,1.34056,28
24000,-1.85511,3.91025,1.45432,28
24000,-2.00524,3.94325,1.50408,28
24000,-2.15552,3.9914,1.55678,28
22000,-2.27409,4.00745,1.51695,28
20000,-2.34679,3.97946,1.45526,28
18000,-2.42481,3.90173,1.38937,28
16000,-2.51145,3.78873,1.31921,28
4000,0.63177,5.5656,3.08368,28
6000,0.49393,5.47916,2.63224,28
6000,0.340963,5.33871,2.19008,28
8000,-0.0187252,4.83485,1.45809,28
10000,-0.356429,4.16929,1.08659,28
12000,-0.657005,3.85028,0.956031,28
12000,-0.812338,3.60735,0.90802,28
14000,-1.25391,3.38934,0.952443,28
16000,-1.46916,3.57031,1.05558,28
18000,-1.60171,3.68895,1.15869,28
20000,-1.71489,3.75442,1.26282,28
22000,-1.82045,3.81037,1.36857,28
24000,-2.04818,3.93008,1.51886,28
22000,-2.1986,4.00376,1.49057,28
20000,-2.29585,3.9852,1.43803,28
