approx y2,,Gaussian Function 1,,Gaussian Function 2,,Gaussian Function 3,,Gaussian Function 4,,Gaussian Function 5,,Gaussian Function 6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,0.6623686143061187,1.9263103440256186,2.288816503800218,-0.2263633908416085,0.29911200616324596,2.406451130697958,0.6913827203878178,-1.5270041135091739,0.7029883628204967,-0.5031948779025961,-0.27188560152459207,-2.946532174457349
,,0.7378052901185361,2.025524023760201,2.484900847099614,-0.2673238341328674,0.4070444807871665,2.223864639974058,0.8277490189718026,-1.5521560317850533,0.8437067773167373,-0.633123194326513,-0.14422353476511507,-2.7701705739266385
,,0.8770729993106912,2.169732190864282,2.6552232148891033,-0.3120159166018559,0.4940867990322637,2.067548167832678,0.9467068539067691,-1.536398499669073,0.9520633042603137,-0.7431464566535584,-0.05718121652001784,-2.6276952563529927
,,1.0000928090970955,2.2629676942968473,2.846461245963863,-0.3385597335750723,0.5598521061507817,1.9434454168056021,1.0700168047539895,-1.4919949957642378,1.0776848185041539,-0.8426941704225919,0.012452638076060119,-2.490214323191737
,,1.1323971328296425,2.3213269011187903,3.0299196705727605,-0.33857234295951555,0.6275516870080793,1.8138336397253507,1.1937412428309502,-1.42305473713694,1.2020309874257205,-0.9553285531447231,0.093692135104817,-2.309758345839007
,,1.2832704844544782,2.3292785859317817,3.223899694090405,-0.3334289230156062,0.6971855416041572,1.661056620802928,1.3296930541851966,-1.3211337421874396,1.3296930541851966,-1.0590959594027693,0.1459175260518757,-2.1993395079545333
,,1.4009848577002275,2.2946336584678457,3.3993659546797277,-0.3100273647734677,0.7552137537675554,1.5503972823045773,1.473934610134215,-1.1783552395957275,1.473934610134215,-1.1488770358436642,0.2735795928113509,-1.8858167930842842
,,1.5327917967570892,2.21138293817278,3.5869905073413824,-0.26984404143905083,0.8596645356616719,1.3382815170806648,1.5560030816224488,-1.1183207718781536,1.5684376985146056,-1.1732184585489889,0.34901626862376833,-1.7168175601616604
,,1.7010736120309442,2.05149512579872,3.7964196003310997,-0.21616501729899928,0.9467068539067691,1.1705883006787223,1.7010736120309442,-0.9364390550815185,1.712679254463624,-1.2242842690961946,0.41284730200350683,-1.4006384862548775
,,1.8171300363577405,1.9108807857304213,3.94096260153811,-0.15553289210147803,1.016340708502847,1.0525914679887682,1.8287356787904194,-0.8056718984854991,1.8403413212230992,-1.2197485872793679,0.4070444807871665,-1.583406583531604
,,1.9157779970355167,1.7763015743539352,,,1.1108437968832376,0.8846359213788628,1.9563977455498955,-0.674123122850601,1.9680033879825753,-1.1817986915504037,0.5908004859712603,-0.9998575076933434
,,2.0086231364969542,1.643460867738444,,,1.211315501371864,0.7428350790833393,2.0840598123093717,-0.5533704601902385,2.1000175706543063,-1.1168149133002747,0.5289037263303031,-1.2785463250274627
,,2.13048238204009,1.4585684067180824,,,1.3122845905361773,0.5986999455311457,2.2059190578525074,-0.4467971816120806,2.2181694581981137,-1.0355469630612553,0.7145940052531765,-0.923817626147089
,,2.231617266096298,1.3125599789270441,,,1.4302752886017522,0.4657214265794156,2.3451867670446624,-0.3371773318763993,2.3451867670446624,-0.9280126544544607,0.870823807231556,-0.6699150911073262
,,2.3451867670446624,1.1354616081899258,,,1.544397439189769,0.31654223982859575,2.5018629398858376,-0.25950706600009843,2.5018629398858376,-0.7838171172811035,0.987326602421148,-0.5214174856172771
,,2.496060118669498,0.923773457958518,,,1.7010736120309442,0.2377481460766373,2.617919364212634,-0.19380220493591738,2.6269459749936077,-0.6699167931749321,1.1246600378745235,-0.3736292165881143
,,2.6202404926991703,0.7669285496065883,,,1.8287356787904194,0.1666621858817794,2.7560265091615213,-0.13761736404734393,2.7560265091615213,-0.5487001273085306,1.2832704844544782,-0.24361588530293732
,,2.7560265091615213,0.604910952651097,,,1.9563977455498955,0.09905443040993944,2.888717687641825,-0.08918789973907604,2.888717687641825,-0.43078364486179277,1.4009848577002275,-0.15868984879756942
,,2.888717687641825,0.47685843705414754,,,2.0879283597869316,0.04592801347636666,3.012511206923741,-0.07218289776712172,3.012511206923741,-0.3436001090183569,1.5385946179734296,-0.06490294901941462
,,2.9892999220583816,0.38446415914417154,,,2.211721879068847,0.02055096373017129,3.1363047262056556,-0.061519865830081955,3.1363047262056556,-0.28037505771431936,1.6894679695982644,-0.019255127184559573
